dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.375999,3.110318,0.001632,0.065261,1.305224,26.104483,6.231699
0.050000,7.375224,3.110358,0.002408,0.015520,-0.994830,-46.001081,6.232527
0.050000,7.386609,3.109793,0.013807,0.227987,4.249347,104.883531,6.234386
0.050000,7.409610,3.108707,0.036834,0.460537,4.651000,8.033063,6.237673
0.050000,7.445601,3.107160,0.072858,0.720483,5.198918,10.958373,6.242760
0.050000,7.497537,3.105248,0.124829,1.039423,6.378793,23.597494,6.249982
0.050000,7.566983,3.103271,0.194303,1.389476,7.001075,12.445633,6.259421
0.050000,7.654102,3.101703,0.281437,1.742675,7.063963,1.257772,6.270908
0.050000,7.759095,3.101119,0.386430,2.099879,7.144080,1.602336,0.001044
0.050000,7.882189,3.102172,0.509529,2.461971,7.241855,1.955498,0.015938
0.050000,8.023640,3.105582,0.651021,2.829837,7.357324,2.309382,0.032098
0.050000,8.183723,3.112108,0.811238,3.204337,7.489986,2.653235,0.049169
0.050000,8.362735,3.122519,0.990551,3.586275,7.638764,2.975556,0.066753
0.050000,8.560984,3.137563,1.189371,3.976381,7.802115,3.267030,0.084414
0.050000,8.778798,3.157930,1.408135,4.375284,7.978061,3.518923,0.101685
0.050000,9.016526,3.184207,1.647311,4.783518,8.164675,3.732272,0.118065
0.050000,9.274548,3.216836,1.907387,5.201537,8.360395,3.914391,0.133033
0.050000,9.553289,3.256063,2.188876,5.629761,8.564472,4.081551,0.146045
0.050000,9.853241,3.301883,2.492307,6.068630,8.777379,4.258143,0.156532
0.050000,10.174984,3.353985,2.818241,6.518686,9.001131,4.475034,0.163896
0.050000,10.517613,3.411409,3.165649,6.948157,8.589417,-8.234286,0.167496
0.050000,10.878669,3.472456,3.531829,7.323601,7.508868,-21.610968,0.166730
0.050000,11.255671,3.534970,3.913979,7.642998,6.387950,-22.418372,0.161106
0.050000,11.646079,3.596411,4.309193,7.904268,5.225394,-23.251120,0.150242
0.050000,12.047228,3.653964,4.714449,8.105133,4.017313,-24.161620,0.133877
0.050000,12.454906,3.704515,5.125249,8.215994,2.217204,-36.002173,0.111975
0.050000,12.864508,3.745115,5.536858,8.232178,0.323696,-37.870169,0.084746
0.050000,13.272326,3.773333,5.945651,8.175874,-1.126093,-28.995776,0.052578
0.050000,13.674204,3.787297,6.347771,8.042399,-2.669501,-30.868147,0.016105
0.050000,14.065540,3.785933,6.739111,7.826781,-4.312349,-32.856963,6.259416
0.050000,14.441384,3.769184,7.115328,7.524342,-6.048789,-34.728806,6.217293
0.050000,14.798032,3.737985,7.473337,7.160188,-7.283071,-24.685639,6.174090
0.050000,15.133666,3.693915,7.811852,6.770302,-7.797727,-10.293121,6.130800
0.050000,15.447089,3.638982,8.130053,6.364009,-8.125860,-6.562660,6.088298
0.050000,15.737401,3.575502,8.427224,5.943425,-8.411675,-5.716291,6.047349
0.050000,16.004034,3.505949,8.702779,5.511108,-8.646345,-4.693399,6.008580
0.050000,16.246748,3.432823,8.956270,5.069810,-8.825966,-3.592423,5.972469
0.050000,16.465589,3.358533,9.187377,4.622148,-8.953236,-2.545405,5.939357
0.050000,16.660833,3.285314,9.395898,4.170428,-9.034407,-1.623428,5.909459
0.050000,16.832916,3.215178,9.581725,3.716537,-9.077804,-0.867924,5.882891
0.050000,16.982368,3.149883,9.744818,3.261853,-9.093688,-0.317679,5.859696
0.050000,17.109755,3.090932,9.885185,2.807332,-9.090425,0.065260,5.839862
0.050000,17.215638,3.039577,10.002865,2.353602,-9.074587,0.316750,5.823349
0.050000,17.300528,2.996833,10.097909,1.900885,-9.054341,0.404926,5.810101
0.050000,17.364866,2.963492,10.170372,1.449267,-9.032371,0.439400,5.800059
0.050000,17.410291,2.939457,10.221764,1.027827,-8.428803,12.071356,5.792970
0.050000,17.439972,2.923529,10.255448,0.673694,-7.082654,26.922976,5.788339
0.050000,17.457334,2.914129,10.275192,0.394882,-5.576245,30.128191,5.785630
0.050000,17.465726,2.909564,10.284746,0.191062,-4.076400,29.996890,5.784321
0.050000,17.468459,2.908074,10.287858,0.062256,-2.576119,30.005625,5.783895
0.050000,17.468822,2.907876,10.288272,0.008272,-1.079680,29.928783,5.783839
0.050000,17.468822,2.907876,10.288272,0.000000,-0.165438,18.284839,5.783839
