dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.279607,1.239800,0.001632,0.065261,1.305224,26.104483,6.231699
0.050000,7.280382,1.239761,0.002408,0.015520,-0.994830,-46.001081,6.232527
0.050000,7.295245,1.239022,0.017289,0.297622,5.642053,132.737667,6.234386
0.050000,7.324394,1.237647,0.046471,0.583640,5.720350,1.565932,6.237673
0.050000,7.369905,1.235690,0.092023,0.911046,6.548127,16.555536,6.242760
0.050000,7.435359,1.233280,0.157522,1.309975,7.978580,28.609062,6.249982
0.050000,7.522476,1.230799,0.244674,1.743049,8.661479,13.657975,6.259421
0.050000,7.631107,1.228844,0.353323,2.172975,8.598523,-1.259117,6.270908
0.050000,7.761050,1.228120,0.483268,2.598892,8.518343,-1.603601,0.001044
0.050000,7.912040,1.229410,0.634263,3.019918,8.420520,-1.956455,0.015938
0.050000,8.083749,1.233547,0.806022,3.435170,8.305029,-2.309827,0.032098
0.050000,8.275779,1.241371,0.998211,3.843788,8.172358,-2.653409,0.049169
0.050000,8.487670,1.253690,1.210460,4.244967,8.023584,-2.975477,0.066753
0.050000,8.718904,1.271233,1.442359,4.637985,7.860363,-3.264437,0.084414
0.050000,8.968925,1.294605,1.693470,5.022212,7.684546,-3.516330,0.101685
0.050000,9.237148,1.324247,1.963325,5.397117,7.498086,-3.729193,0.118065
0.050000,9.522984,1.360386,2.251438,5.762243,7.302532,-3.911080,0.133033
0.050000,9.825860,1.403002,2.557296,6.117174,7.098614,-4.078378,0.146045
0.050000,10.145229,1.451783,2.880370,6.461465,6.885828,-4.255708,0.156532
0.050000,10.480590,1.506085,3.220098,6.794571,6.662114,-4.474274,0.163896
0.050000,10.829868,1.564621,3.574248,7.082996,5.768494,-17.872403,0.167496
0.050000,11.189509,1.625430,3.938993,7.294910,4.238279,-30.604297,0.166730
0.050000,11.556119,1.686225,4.310610,7.432323,2.748254,-29.800506,0.161106
0.050000,11.926425,1.744511,4.685475,7.497303,1.299602,-28.973039,0.150242
0.050000,12.297232,1.797724,5.060081,7.492121,-0.103639,-28.064818,0.133877
0.050000,12.664196,1.843245,5.429858,7.395538,-1.931657,-36.560364,0.111975
0.050000,13.023048,1.878837,5.790469,7.212237,-3.666012,-34.687098,0.084746
0.050000,13.370759,1.902921,6.139014,6.970891,-4.826936,-23.218487,0.052578
0.050000,13.704367,1.914540,6.472824,6.676205,-5.893708,-21.335443,0.016105
0.050000,14.021024,1.913463,6.789483,6.333180,-6.860495,-19.335737,6.259416
0.050000,14.318056,1.900249,7.086809,5.946521,-7.733194,-17.453980,6.217293
0.050000,14.594102,1.876120,7.363907,5.541959,-8.091223,-7.160570,6.174090
0.050000,14.849352,1.842619,7.621346,5.148778,-7.863627,4.551923,6.130800
0.050000,15.084372,1.801439,7.859947,4.772013,-7.535310,6.566328,6.088298
0.050000,15.299763,1.754347,8.080426,4.409583,-7.248584,5.734530,6.047349
0.050000,15.496138,1.703126,8.283371,4.058891,-7.013848,4.694711,6.008580
0.050000,15.674096,1.649512,8.469230,3.717185,-6.834120,3.594567,5.972469
0.050000,15.834213,1.595158,8.638321,3.381821,-6.707283,2.536740,5.939357
0.050000,15.977025,1.541601,8.790845,3.050490,-6.626610,1.613454,5.909459
0.050000,16.103028,1.490245,8.926912,2.721341,-6.582989,0.872417,5.882891
0.050000,16.212669,1.442343,9.046560,2.392955,-6.567719,0.305406,5.859696
0.050000,16.306343,1.398993,9.149779,2.064368,-6.571731,-0.080244,5.839862
0.050000,16.384398,1.361135,9.236530,1.735030,-6.586776,-0.300898,5.823349
0.050000,16.447125,1.329550,9.306761,1.404614,-6.608320,-0.430875,5.810101
0.050000,16.494764,1.304863,9.360416,1.073100,-6.630276,-0.439125,5.800059
0.050000,16.528452,1.287038,9.398530,0.762280,-6.216394,8.277636,5.792970
0.050000,16.550491,1.275211,9.423541,0.500220,-5.241198,19.503917,5.788339
0.050000,16.563392,1.268226,9.438212,0.293421,-4.135993,22.104116,5.785630
0.050000,16.569630,1.264833,9.445313,0.142029,-3.027824,22.163365,5.784321
0.050000,16.571662,1.263725,9.447628,0.046287,-1.914839,22.259704,5.783895
0.050000,16.571932,1.263578,9.447935,0.006150,-0.802740,22.241982,5.783839
0.050000,16.571932,1.263578,9.447935,0.000000,-0.123010,13.594602,5.783839
