dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.000000,1.000000,0.001820,0.072813,1.456263,29.125262,0.000000
0.050000,1.004102,1.000000,0.009102,0.218439,2.912526,29.125262,0.000000
0.050000,1.020485,1.000000,0.025485,0.436879,4.368789,29.125262,0.000000
0.050000,1.047790,1.000000,0.052790,0.655318,4.368789,-0.000000,0.000000
0.050000,1.086016,1.000000,0.091016,0.873758,4.368789,0.000000,0.000000
0.050000,1.135165,1.000000,0.140165,1.092197,4.368789,-0.000000,0.000000
0.050000,1.195236,1.000000,0.200236,1.310637,4.368789,0.000000,0.000000
0.050000,1.266229,1.000000,0.271229,1.529076,4.368789,0.000000,0.000000
0.050000,1.348144,1.000000,0.353144,1.747516,4.368789,0.000000,0.000000
0.050000,1.440981,1.000000,0.445981,1.965955,4.368789,-0.000000,0.000000
0.050000,1.544739,1.000000,0.549739,2.184395,4.368789,0.000000,0.000000
0.050000,1.659420,1.000000,0.664420,2.402834,4.368789,0.000000,0.000000
0.050000,1.785023,1.000000,0.790023,2.621274,4.368789,-0.000000,0.000000
0.050000,1.921547,1.000000,0.926547,2.839713,4.368789,0.000000,0.000000
0.050000,2.068994,1.000000,1.073994,3.058153,4.368789,-0.000000,0.000000
0.050000,2.227363,1.000000,1.232363,3.276592,4.368789,0.000000,0.000000
0.050000,2.396653,1.000000,1.401653,3.495031,4.368789,0.000000,0.000000
0.050000,2.576866,1.000000,1.581866,3.713471,4.368789,-0.000000,0.000000
0.050000,2.768000,1.000000,1.773000,3.931910,4.368789,0.000000,0.000000
0.050000,2.970057,1.000000,1.975057,4.150350,4.368789,-0.000000,0.000000
0.050000,3.181215,1.000000,2.186215,4.295976,2.912526,-29.125262,0.000000
0.050000,3.397834,1.000000,2.402834,4.368789,1.456263,-29.125262,0.000000
0.050000,3.616114,1.000000,2.621114,4.362420,-0.127385,-31.672959,0.000000
0.050000,3.832256,1.000000,2.837256,4.283238,-1.583648,-29.125262,0.000000
0.050000,4.042618,1.000000,3.047618,4.131242,-3.039911,-29.125262,0.000000
0.050000,4.243719,1.000000,3.248719,3.912803,-4.368789,-26.577565,0.000000
0.050000,4.433898,1.000000,3.438898,3.694363,-4.368789,-0.000000,0.000000
0.050000,4.613155,1.000000,3.618155,3.475924,-4.368789,0.000000,0.000000
0.050000,4.781490,1.000000,3.786490,3.257484,-4.368789,-0.000000,0.000000
0.050000,4.938904,1.000000,3.943904,3.039045,-4.368789,0.000000,0.000000
0.050000,5.085395,1.000000,4.090395,2.820605,-4.368789,0.000000,0.000000
0.050000,5.220964,1.000000,4.225964,2.602166,-4.368789,-0.000000,0.000000
0.050000,5.345612,1.000000,4.350612,2.383726,-4.368789,0.000000,0.000000
0.050000,5.459337,1.000000,4.464337,2.165287,-4.368789,-0.000000,0.000000
0.050000,5.562140,1.000000,4.567140,1.946847,-4.368789,0.000000,0.000000
0.050000,5.654022,1.000000,4.659022,1.728408,-4.368789,0.000000,0.000000
0.050000,5.734981,1.000000,4.739981,1.509969,-4.368789,-0.000000,0.000000
0.050000,5.805018,1.000000,4.810018,1.291529,-4.368789,0.000000,0.000000
0.050000,5.864134,1.000000,4.869134,1.073090,-4.368789,0.000000,0.000000
0.050000,5.912327,1.000000,4.917327,0.854650,-4.368789,0.000000,0.000000
0.050000,5.949599,1.000000,4.954599,0.636211,-4.368789,-0.000000,0.000000
0.050000,5.975948,1.000000,4.980948,0.417771,-4.368789,0.000000,0.000000
0.050000,5.991535,1.000000,4.996535,0.205701,-4.241404,2.547697,0.000000
0.050000,5.998339,1.000000,5.003339,0.066444,-2.785141,29.125262,0.000000
0.050000,6.000000,1.000000,5.005000,0.000000,-1.328878,29.125262,0.000000
0.050000,6.000000,1.000000,5.005000,0.000000,0.000000,26.577565,0.000000
