dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.000000,0.063500,0.001820,0.072813,1.456263,29.125262,0.000000
0.050000,1.004102,0.063500,0.005922,0.082033,0.184395,-25.437369,0.000000
0.050000,1.020485,0.063500,0.022305,0.327659,4.912526,94.562631,0.000000
0.050000,1.047790,0.063500,0.049610,0.546099,4.368789,-10.874738,0.000000
0.050000,1.086016,0.063500,0.087837,0.764538,4.368789,0.000000,0.000000
0.050000,1.135165,0.063500,0.136986,0.982978,4.368789,0.000000,0.000000
0.050000,1.195236,0.063500,0.197057,1.201417,4.368789,-0.000000,0.000000
0.050000,1.266229,0.063500,0.268049,1.419857,4.368789,0.000000,0.000000
0.050000,1.348144,0.063500,0.349964,1.638296,4.368789,-0.000000,0.000000
0.050000,1.440981,0.063500,0.442801,1.856735,4.368789,-0.000000,0.000000
0.050000,1.544739,0.063500,0.546560,2.075175,4.368789,0.000000,0.000000
0.050000,1.659420,0.063500,0.661240,2.293614,4.368789,-0.000000,0.000000
0.050000,1.785023,0.063500,0.786843,2.512054,4.368789,0.000000,0.000000
0.050000,1.921547,0.063500,0.923368,2.730493,4.368789,0.000000,0.000000
0.050000,2.068994,0.063500,1.070814,2.948933,4.368789,0.000000,0.000000
0.050000,2.227363,0.063500,1.229183,3.167372,4.368789,0.000000,0.000000
0.050000,2.396653,0.063500,1.398474,3.385812,4.368789,-0.000000,0.000000
0.050000,2.576866,0.063500,1.578686,3.604251,4.368789,-0.000000,0.000000
0.050000,2.768000,0.063500,1.769821,3.822691,4.368789,0.000000,0.000000
0.050000,2.970057,0.063500,1.971877,4.041130,4.368789,0.000000,0.000000
0.050000,3.181215,0.063500,2.183035,4.223163,3.640658,-14.562631,0.000000
0.050000,3.397834,0.063500,2.399654,4.332383,2.184395,-29.125262,0.000000
0.050000,3.616114,0.063500,2.617935,4.365605,0.664439,-30.399111,0.000000
0.050000,3.832256,0.063500,2.834076,4.322829,-0.855516,-30.399111,0.000000
0.050000,4.042618,0.063500,3.044438,4.207240,-2.311780,-29.125262,0.000000
0.050000,4.243719,0.063500,3.245539,4.022022,-3.704350,-27.851414,0.000000
0.050000,4.433898,0.063500,3.435718,3.803583,-4.368789,-13.288783,0.000000
0.050000,4.613155,0.063500,3.614976,3.585143,-4.368789,0.000000,0.000000
0.050000,4.781490,0.063500,3.783311,3.366704,-4.368789,-0.000000,0.000000
0.050000,4.938904,0.063500,3.940724,3.148265,-4.368789,0.000000,0.000000
0.050000,5.085395,0.063500,4.087215,2.929825,-4.368789,-0.000000,0.000000
0.050000,5.220964,0.063500,4.222785,2.711386,-4.368789,0.000000,0.000000
0.050000,5.345612,0.063500,4.347432,2.492946,-4.368789,-0.000000,0.000000
0.050000,5.459337,0.063500,4.461157,2.274507,-4.368789,0.000000,0.000000
0.050000,5.562140,0.063500,4.563961,2.056067,-4.368789,0.000000,0.000000
0.050000,5.654022,0.063500,4.655842,1.837628,-4.368789,0.000000,0.000000
0.050000,5.734981,0.063500,4.736801,1.619188,-4.368789,0.000000,0.000000
0.050000,5.805018,0.063500,4.806839,1.400749,-4.368789,0.000000,0.000000
0.050000,5.864134,0.063500,4.865954,1.182309,-4.368789,0.000000,0.000000
0.050000,5.912327,0.063500,4.914148,0.963870,-4.368789,-0.000000,0.000000
0.050000,5.949599,0.063500,4.951419,0.745430,-4.368789,0.000000,0.000000
0.050000,5.975948,0.063500,4.977769,0.526991,-4.368789,-0.000000,0.000000
0.050000,5.991535,0.063500,4.993356,0.311736,-4.305097,1.273848,0.000000
0.050000,5.998339,0.063500,5.000159,0.136072,-3.513273,15.836480,0.000000
0.050000,6.000000,0.063500,5.001820,0.033222,-2.057010,29.125262,0.000000
0.050000,6.000000,0.063500,5.001820,0.000000,-0.664439,27.851414,0.000000
