dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.710677,3.022227,0.001875,0.075000,1.500000,30.000000,6.282289
0.050000,3.710051,3.022227,0.002501,0.012522,-1.249551,-54.991025,6.282957
0.050000,3.722961,3.022235,0.015411,0.258204,4.913626,123.263549,0.001276
0.050000,3.750458,3.022307,0.042909,0.549948,5.834889,18.425252,0.003948
0.050000,3.793424,3.022566,0.085876,0.859342,6.187876,7.059744,0.008121
0.050000,3.855299,3.023255,0.147754,1.237570,7.564569,27.533858,0.014124
0.050000,3.939522,3.024788,0.231991,1.684728,8.943145,27.571517,0.022280
0.050000,4.049530,3.027824,0.342041,2.201010,10.325643,27.649956,0.032903
0.050000,4.188756,3.033341,0.481376,2.786697,11.713734,27.761837,0.046293
0.050000,4.360617,3.042720,0.653493,3.442330,13.112663,27.978567,0.062717
0.050000,4.566787,3.057693,0.860206,4.134267,13.838751,14.521763,0.082240
0.050000,4.807185,3.080238,1.101659,4.829063,13.895919,1.143355,0.104708
0.050000,5.081684,3.112600,1.378059,5.527989,13.978525,1.652119,0.129901
0.050000,5.390095,3.157253,1.689685,6.232535,14.090908,2.247666,0.157519
0.050000,5.732166,3.216834,2.036906,6.944422,14.237746,2.936756,0.187167
0.050000,6.107579,3.294070,2.420182,7.665520,14.421961,3.684306,0.218356
0.050000,6.515959,3.391677,2.840065,8.397662,14.642833,4.417446,0.250496
0.050000,6.956897,3.512255,3.297192,9.142541,14.897582,5.094966,0.282907
0.050000,7.429986,3.658158,3.792269,9.901529,15.179756,5.643484,0.314837
0.050000,7.934880,3.831372,4.326049,10.675599,15.481414,6.033174,0.345482
0.050000,8.469698,4.032728,4.897516,11.429345,15.074905,-8.130198,0.373927
0.050000,9.031145,4.261543,5.503799,12.125660,13.926304,-22.972016,0.399235
0.050000,9.616280,4.516109,6.141910,12.762228,12.731371,-23.898649,0.420592
0.050000,10.222566,4.793741,6.808740,13.336600,11.487433,-24.878769,0.437316
0.050000,10.847890,5.090862,7.501063,13.846458,10.197159,-25.805482,0.448847
0.050000,11.490536,5.403112,8.215552,14.289778,8.866410,-26.614970,0.454731
0.050000,12.149121,5.725464,8.948795,14.664857,7.501576,-27.296685,0.454605
0.050000,12.822489,6.052333,9.697306,14.970215,6.107164,-27.888234,0.448185
0.050000,13.509566,6.377694,10.457526,15.204402,4.683741,-28.468456,0.435264
0.050000,14.235607,6.701088,11.252333,15.896133,13.834611,183.017393,0.373114
0.050000,15.133937,6.955423,12.185973,18.672809,55.533514,833.978062,0.174772
0.050000,16.074228,7.020282,13.128498,18.850498,3.553785,-1039.594584,6.246669
0.050000,16.980456,6.899075,14.042795,18.285947,-11.291014,-296.895980,6.058741
0.050000,17.803896,6.645375,14.904432,17.232726,-21.064432,-195.468353,5.916487
0.050000,18.538724,6.319480,15.708285,16.077062,-23.113276,-40.976883,5.821157
0.050000,19.198907,5.965088,16.457575,14.985814,-21.824959,25.766343,5.765076
0.050000,19.800268,5.610645,17.155619,13.960877,-20.498741,26.524345,5.740566
0.050000,20.354721,5.275445,17.803520,12.958024,-20.057064,8.833540,5.742375
0.050000,20.869572,4.973573,18.400344,11.936480,-20.430872,-7.476158,5.767461
0.050000,21.348032,4.715578,18.943930,10.871714,-21.295318,-17.288904,5.814109
0.050000,21.790423,4.508430,19.432417,9.769745,-22.039383,-14.881304,5.880899
0.050000,22.196279,4.354692,19.866416,8.679975,-21.795393,4.879805,5.965787
0.050000,22.565339,4.252645,20.249324,7.658155,-20.436413,27.179592,6.065158
0.050000,22.898044,4.197048,20.586642,6.746367,-18.235747,44.013308,6.173160
0.050000,23.196262,4.180250,20.885334,5.973830,-15.450738,55.700189,6.282381
0.050000,23.462676,4.193756,21.152090,5.335116,-12.774296,53.528844,0.102507
0.050000,23.699601,4.229298,21.391666,4.791525,-10.871812,38.049685,0.194834
0.050000,23.908382,4.279218,21.606332,4.293314,-9.964221,18.151802,0.273749
0.050000,24.089558,4.336605,21.796379,3.800944,-9.847391,2.336608,0.338935
0.050000,24.243292,4.395426,21.960981,3.292048,-10.177939,-6.610963,0.391261
0.050000,24.370089,4.450830,22.099355,2.767478,-10.491384,-6.268889,0.432173
0.050000,24.471825,4.499721,22.212229,2.257472,-10.200127,5.825136,0.463488
0.050000,24.551335,4.540646,22.301653,1.788486,-9.379720,16.408130,0.487026
0.050000,24.611436,4.573145,22.369978,1.366501,-8.439690,18.800612,0.504278
0.050000,24.654913,4.597487,22.419805,0.996541,-7.399203,20.809729,0.516471
0.050000,24.684505,4.614453,22.453916,0.682226,-6.286302,22.258020,0.524634
0.050000,24.702924,4.625174,22.475228,0.426240,-5.119732,23.331413,0.529660
0.050000,24.712851,4.631004,22.486740,0.230231,-3.920168,23.991272,0.532351
0.050000,24.716950,4.633422,22.491499,0.095189,-2.700844,24.386490,0.533459
0.050000,24.717875,4.633968,22.492573,0.021480,-1.474179,24.533288,0.533708
0.050000,24.717875,4.633968,22.492573,0.000000,-0.429602,20.891544,0.533708
