dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.709837,2.085727,0.001875,0.075000,1.500000,30.000000,6.282289
0.050000,3.709837,2.085727,0.009375,0.225000,3.000000,30.000000,6.282957
0.050000,3.724156,2.085736,0.026250,0.450000,4.500000,30.000000,0.001276
0.050000,3.754156,2.085814,0.056250,0.750000,6.000000,30.000000,0.003948
0.050000,3.801030,2.086097,0.103125,1.125000,7.500000,30.000000,0.008121
0.050000,3.868526,2.086848,0.170625,1.575000,9.000000,30.000000,0.014124
0.050000,3.960385,2.088520,0.262500,2.100000,10.500000,30.000000,0.022280
0.050000,4.080339,2.091831,0.382500,2.700000,12.000000,30.000000,0.032903
0.050000,4.232093,2.097845,0.534375,3.375000,13.500000,30.000000,0.046293
0.050000,4.419313,2.108061,0.721875,4.125000,15.000000,30.000000,0.062717
0.050000,4.643718,2.124358,0.946875,4.875000,15.000000,0.000000,0.082240
0.050000,4.905066,2.148867,1.209375,5.625000,15.000000,0.000000,0.104708
0.050000,5.202994,2.183991,1.509375,6.375000,15.000000,0.000000,0.129901
0.050000,5.537001,2.232348,1.846875,7.125000,15.000000,0.000000,0.157519
0.050000,5.906426,2.296690,2.221875,7.875000,15.000000,0.000000,0.187167
0.050000,6.310448,2.379807,2.634375,8.625000,15.000000,0.000000,0.218356
0.050000,6.748103,2.484405,3.084375,9.375000,15.000000,0.000000,0.250496
0.050000,7.218319,2.612982,3.571875,10.125000,15.000000,0.000000,0.282907
0.050000,7.719984,2.767690,4.096875,10.875000,15.000000,0.000000,0.314837
0.050000,8.252026,2.950208,4.659375,11.625000,15.000000,0.000000,0.345482
0.050000,8.811777,3.160940,5.257500,12.300000,13.500000,-30.000000,0.373927
0.050000,9.395175,3.398690,5.887500,12.900000,12.000000,-30.000000,0.399235
0.050000,9.998654,3.661228,6.545625,13.425000,10.500000,-30.000000,0.420592
0.050000,10.619183,3.945374,7.228125,13.875000,9.000000,-30.000000,0.437316
0.050000,11.254262,4.247124,7.931250,14.250000,7.500000,-30.000000,0.448847
0.050000,11.901866,4.561780,8.651250,14.550000,6.000000,-30.000000,0.454731
0.050000,12.560345,4.884080,9.384375,14.775000,4.500000,-30.000000,0.454605
0.050000,13.228303,5.208327,10.126875,14.925000,3.000000,-30.000000,0.448185
0.050000,13.904442,5.528515,10.875000,15.000000,1.500000,-30.000000,0.435264
0.050000,14.576977,5.829022,11.625000,15.000000,0.000000,-30.000000,0.373114
0.050000,15.296779,6.033190,12.374431,14.977254,-0.454930,-9.098594,0.174772
0.050000,16.040038,6.084406,13.120850,14.879507,-1.954930,-30.000000,6.246669
0.050000,16.772024,5.986065,13.860507,14.706761,-3.454930,-30.000000,6.058741
0.050000,17.468127,5.771138,14.589651,14.459014,-4.954930,-30.000000,5.916487
0.050000,18.121265,5.481172,15.304533,14.136268,-6.454930,-30.000000,5.821157
0.050000,18.735117,5.151497,16.001403,13.738521,-7.954930,-30.000000,5.765076
0.050000,19.316678,4.808664,16.676511,13.265775,-9.454930,-30.000000,5.740566
0.050000,19.872581,4.472591,17.326106,12.718028,-10.954930,-30.000000,5.742375
0.050000,20.407723,4.158878,17.946438,12.095282,-12.454930,-30.000000,5.767461
0.050000,20.924675,3.880232,18.533759,11.397535,-13.954930,-30.000000,5.814109
0.050000,21.423761,3.646693,19.084886,10.647535,-15.000000,-20.901406,5.880899
0.050000,21.904001,3.464969,19.598512,9.897535,-15.000000,0.000000,5.965787
0.050000,22.362770,3.338316,20.074639,9.147535,-15.000000,-0.000000,6.065158
0.050000,22.795212,3.266211,20.513266,8.397535,-15.000000,0.000000,6.173160
0.050000,23.195509,3.243750,20.914393,7.647535,-15.000000,0.000000,6.282381
0.050000,23.558506,3.262172,21.278019,6.897535,-15.000000,-0.000000,0.102507
0.050000,23.880911,3.310517,21.604146,6.147535,-15.000000,0.000000,0.194834
0.050000,24.161558,3.377590,21.892773,5.397535,-15.000000,0.000000,0.273749
0.050000,24.400928,3.453383,22.143900,4.647535,-15.000000,-0.000000,0.338935
0.050000,24.600430,3.529698,22.357526,3.897535,-15.000000,-0.000000,0.391261
0.050000,24.762337,3.600434,22.534222,3.170282,-14.545070,9.098594,0.432173
0.050000,24.890507,3.662023,22.676430,2.518028,-13.045070,30.000000,0.463488
0.050000,24.989617,3.713034,22.787900,1.940775,-11.545070,30.000000,0.487026
0.050000,25.063930,3.753217,22.872382,1.438521,-10.045070,30.000000,0.504278
0.050000,25.117370,3.783137,22.933627,1.011268,-8.545070,30.000000,0.516471
0.050000,25.153595,3.803905,22.975384,0.659014,-7.045070,30.000000,0.524634
0.050000,25.176081,3.816995,23.001403,0.381761,-5.545070,30.000000,0.529660
0.050000,25.188181,3.824100,23.015435,0.179507,-4.045070,30.000000,0.532351
0.050000,25.193174,3.827045,23.021229,0.052254,-2.545070,30.000000,0.533459
0.050000,25.194300,3.827710,23.022535,0.000000,-1.045070,30.000000,0.533708
0.050000,25.194300,3.827710,23.022535,0.000000,0.000000,20.901406,0.533708
