dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.708998,1.149227,0.001875,0.075000,1.500000,30.000000,6.282289
0.050000,3.709624,1.149227,0.002501,0.012522,-1.249551,-54.991025,6.282957
0.050000,3.725351,1.149237,0.018228,0.314535,6.040258,145.796176,0.001276
0.050000,3.757853,1.149322,0.050731,0.650055,6.710390,13.402659,0.003948
0.050000,3.808635,1.149628,0.101514,1.015658,7.312065,12.033488,0.008121
0.050000,3.881752,1.150442,0.174635,1.462424,8.935324,32.465181,0.014124
0.050000,3.981248,1.152253,0.274147,1.990249,10.556499,32.423496,0.022280
0.050000,4.111147,1.155838,0.404096,2.598975,12.174507,32.360158,0.032903
0.050000,4.275431,1.162348,0.568509,3.288252,13.785539,32.220653,0.046293
0.050000,4.478009,1.173402,0.771388,4.057584,15.386645,32.022124,0.062717
0.050000,4.720649,1.191024,1.014668,4.865597,16.160259,15.472267,0.082240
0.050000,5.002946,1.217496,1.298203,5.670702,16.102097,-1.163232,0.104708
0.050000,5.324305,1.255381,1.621787,6.471693,16.019825,-1.645453,0.129901
0.050000,5.683908,1.307442,1.985139,7.267042,15.906979,-2.256904,0.157519
0.050000,6.080687,1.376546,2.387890,8.055023,15.759618,-2.947229,0.187167
0.050000,6.513318,1.465544,2.829581,8.833811,15.575767,-3.677024,0.218356
0.050000,6.980247,1.577134,3.309659,9.601558,15.354945,-4.416440,0.250496
0.050000,7.479742,1.713710,3.827489,10.356604,15.100923,-5.080441,0.282907
0.050000,8.009982,1.877222,4.382368,11.097577,14.819460,-5.629254,0.314837
0.050000,8.569172,2.069043,4.973544,11.823518,14.518818,-6.012842,0.345482
0.050000,9.153856,2.289151,5.598286,12.494847,13.426581,-21.844737,0.373927
0.050000,9.759205,2.535838,6.251970,13.073667,11.576397,-37.003681,0.399235
0.050000,10.381028,2.806346,6.930083,13.562271,9.772067,-36.086604,0.420592
0.050000,11.015800,3.097006,7.628237,13.963082,8.016223,-35.116877,0.437316
0.050000,11.660635,3.403386,8.342157,14.278387,6.306097,-34.202528,0.448847
0.050000,12.313196,3.720447,9.067666,14.510181,4.635880,-33.404337,0.454731
0.050000,12.971569,4.042696,9.800673,14.660143,2.999249,-32.732606,0.454605
0.050000,13.634117,4.364320,10.537159,14.729734,1.391820,-32.148591,0.448185
0.050000,14.299317,4.679335,11.273179,14.720389,-0.186894,-31.574269,0.435264
0.050000,14.918347,4.956956,11.951613,13.568675,-23.034284,-456.947811,0.373114
0.050000,15.459622,5.110956,12.514368,11.255111,-46.271283,-464.739970,0.174772
0.050000,16.005848,5.148530,13.061885,10.950337,-6.095478,803.516093,6.246669
0.050000,16.563593,5.073054,13.624714,11.256572,6.124700,244.403568,6.058741
0.050000,17.132359,4.896900,14.220134,11.908407,13.036707,138.240131,5.916487
0.050000,17.703806,4.642864,14.845503,12.507376,11.979379,-21.146554,5.821157
0.050000,18.271326,4.337906,15.489769,12.885322,7.558909,-88.409396,5.765076
0.050000,18.833087,4.006684,16.141906,13.042747,3.148501,-88.208165,5.740566
0.050000,19.390442,3.669738,16.793195,13.025780,-0.339333,-69.756686,5.742375
0.050000,19.945874,3.344184,17.437005,12.876186,-2.991893,-53.051189,5.767461
0.050000,20.501318,3.044887,18.067953,12.618973,-5.144249,-43.047133,5.814109
0.050000,21.057100,2.784955,18.681515,12.271228,-6.954903,-36.213077,5.880899
0.050000,21.611723,2.575247,19.274461,11.858918,-8.246193,-25.825798,5.965787
0.050000,22.160201,2.423987,19.843413,11.379055,-9.597266,-27.021462,6.065158
0.050000,22.692381,2.335373,20.382921,10.790144,-11.778216,-43.618996,6.173160
0.050000,23.194756,2.307250,20.886083,10.063240,-14.538087,-55.197430,6.282381
0.050000,23.654335,2.330588,21.346254,9.203423,-17.196341,-53.165081,0.102507
0.050000,24.062221,2.391735,21.758697,8.248863,-19.091188,-37.896929,0.194834
0.050000,24.414734,2.475961,22.121133,7.248725,-20.002765,-18.231534,0.273749
0.050000,24.712298,2.570161,22.433251,6.242361,-20.127290,-2.490510,0.338935
0.050000,24.957569,2.663971,22.695850,5.251978,-19.807650,6.392806,0.391261
0.050000,25.154586,2.750038,22.910845,4.299908,-19.041413,15.324732,0.432173
0.050000,25.309189,2.824326,23.082371,3.430514,-17.387873,33.070803,0.463488
0.050000,25.427899,2.885423,23.215881,2.670196,-15.206362,43.630211,0.487026
0.050000,25.516424,2.933290,23.316518,2.012743,-13.149059,41.146065,0.504278
0.050000,25.579828,2.968788,23.389183,1.453290,-11.189054,39.200109,0.516471
0.050000,25.622685,2.993358,23.438583,0.988018,-9.305453,37.672019,0.524634
0.050000,25.649239,3.008815,23.469308,0.614497,-7.470416,36.700734,0.529660
0.050000,25.663511,3.017197,23.485860,0.331034,-5.669257,36.023178,0.532351
0.050000,25.669398,3.020669,23.492694,0.136686,-3.886957,35.646007,0.533459
0.050000,25.670725,3.021453,23.494236,0.030830,-2.117127,35.396605,0.533708
0.050000,25.670725,3.021453,23.494236,0.000000,-0.616594,30.010660,0.533708
